# SERVICE_ID, SERVICE_LOCATOR, SERVICE_LOCATOR_TYPE, YOUVIEW_SERVICE_ID
bbc_1xtra,dvb://233a..1700,,bbc_1xtra_233a_1700
bbc_1xtra,dvb://233a..173c,,bbc_1xtra_233a_173c
bbc_6music,dvb://233a..1680,,bbc_6music_233a_1680
bbc_6music,dvb://233a..16bc,,bbc_6music_233a_16bc
bbc_alba,dvb://233a..12fc,,bbc_alba_233a_12fc
bbc_asian_network,dvb://233a..1740,,bbc_asian_network_233a_1740
bbc_asian_network,dvb://233a..177c,,bbc_asian_network_233a_177c
bbc_four,dvb://233a..11c0,,bbc_four_233a_11c0
bbc_four_hd,dvb://233a..A010,,bbc_four_hd_233a_A010
bbc_news24,dvb://233a..1100,,bbc_news24_233a_1100
bbc_news_channel_hd,dvb://233a..A000,,bbc_news_channel_hd_233a_A000
bbc_one_cambridge,dvb://233a..104d,,bbc_one_cambridge_233a_104d
bbc_one_channel_islands,dvb://233a..104e,,bbc_one_channel_islands_233a_104e
bbc_one_east,dvb://233a..1047,,bbc_one_east_233a_1047
bbc_one_east_midlands,dvb://233a..1046,,bbc_one_east_midlands_233a_1046
bbc_one_east_yorkshire,dvb://233a..104f,,bbc_one_east_yorkshire_233a_104f
bbc_one_hd,dvb://233a..4484,,bbc_one_hd_233a_4484
bbc_one_london,dvb://233a..1044,,bbc_one_london_233a_1044
bbc_one_northern_ireland,dvb://233a..107d,,bbc_one_northern_ireland_233a_107d
bbc_one_northern_ireland_hd,dvb://233a..44bd,,bbc_one_northern_ireland_hd_233a_44bd
bbc_one_north_east,dvb://233a..1049,,bbc_one_north_east_233a_1049
bbc_one_north_west,dvb://233a..1048,,bbc_one_north_west_233a_1048
bbc_one_oxford,dvb://233a..104b,,bbc_one_oxford_233a_104b
bbc_one_scotland,dvb://233a..107c,,bbc_one_scotland_233a_107c
bbc_one_scotland_hd,dvb://233a..44bc,,bbc_one_scotland_hd_233a_44bc
bbc_one_south,dvb://233a..1043,,bbc_one_south_233a_1043
bbc_one_south_east,dvb://233a..104c,,bbc_one_south_east_233a_104c
bbc_one_south_west,dvb://233a..1042,,bbc_one_south_west_233a_1042
bbc_one_wales,dvb://233a..107e,,bbc_one_wales_233a_107e
bbc_one_wales_hd,dvb://233a..44be,,bbc_one_wales_hd_233a_44be
bbc_one_west,dvb://233a..1041,,bbc_one_west_233a_1041
bbc_one_west_midlands,dvb://233a..1045,,bbc_one_west_midlands_233a_1045
bbc_one_yorks,dvb://233a..104a,,bbc_one_yorks_233a_104a
bbc_parliament,dvb://233a..1280,,bbc_parliament_233a_1280
bbc_radio_cymru,dvb://233a..197e,,bbc_radio_cymru_233a_197e
bbc_radio_five_live,dvb://233a..1600,,bbc_radio_five_live_233a_1600
bbc_radio_five_live,dvb://233a..163c,,bbc_radio_five_live_233a_163c
bbc_radio_five_live_sports_extra,dvb://233a..1640,,bbc_radio_five_live_sports_extra_233a_1640
bbc_radio_five_live_sports_extra,dvb://233a..167c,,bbc_radio_five_live_sports_extra_233a_167c
bbc_radio_fourfm,dvb://233a..1b00,,bbc_radio_fourfm_233a_1b00
bbc_radio_fourfm,dvb://233a..1b3c,,bbc_radio_fourfm_233a_1b3c
bbc_radio_four_extra,dvb://233a..16c0,,bbc_radio_four_extra_233a_16c0
bbc_radio_four_extra,dvb://233a..16fc,,bbc_radio_four_extra_233a_16fc
bbc_radio_foyle,dvb://233a..18fd,,bbc_radio_foyle_233a_18fd
bbc_radio_nan_gaidheal,dvb://233a..187c,,bbc_radio_nan_gaidheal_233a_187c
bbc_radio_one,dvb://233a..1a40,,bbc_radio_one_233a_1a40
bbc_radio_one,dvb://233a..1a7c,,bbc_radio_one_233a_1a7c
bbc_radio_scotland_fm,dvb://233a..183c,,bbc_radio_scotland_fm_233a_183c
bbc_radio_three,dvb://233a..1ac0,,bbc_radio_three_233a_1ac0
bbc_radio_three,dvb://233a..1afc,,bbc_radio_three_233a_1afc
bbc_radio_two,dvb://233a..1a80,,bbc_radio_two_233a_1a80
bbc_radio_two,dvb://233a..1abc,,bbc_radio_two_233a_1abc
bbc_radio_ulster,dvb://233a..18bd,,bbc_radio_ulster_233a_18bd
bbc_radio_wales_fm,dvb://233a..193e,,bbc_radio_wales_fm_233a_193e
bbc_london,dvb://233a..1804,,bbc_london_233a_1804
bbc_wm,dvb://233a..1805,,bbc_wm_233a_1805
bbc_three,dvb://233a..10c0,,bbc_three_233a_10c0
bbc_three_hd,dvb://233a..4600,,bbc_three_hd_233a_4600
bbc_two_england,dvb://233a..10bf,,bbc_two_england_233a_10bf
bbc_two_northern_ireland_digital,dvb://233a..10bd,,bbc_two_northern_ireland_digital_233a_10bd
bbc_two_scotland,dvb://233a..10bc,,bbc_two_scotland_233a_10bc
bbc_two_wales_digital,dvb://233a..10be,,bbc_two_wales_digital_233a_10be
bbc_two_hd,dvb://233a..4440,,bbc_two_hd_233a_4440
bbc_world_service,dvb://233a..1780,,bbc_world_service_233a_1780
bbc_world_service,dvb://233a..17bc,,bbc_world_service_233a_17bc
cbbc,dvb://233a..1200,,cbbc_233a_1200
cbbc_hd,dvb://233a..46C0,,cbbc_hd_233a_46C0
cbeebies,dvb://233a..1240,,cbeebies_233a_1240
cbeebies_hd,dvb://233a..A020,,cbeebies_hd_233a_A020
youview,crid://bbc.co.uk/iplayer/flash_player/1,,youview
